explicit_sentence,pred,explicit_sentence_with_no_stopwords,scores
a second condition is long periods of tectonic stability tectonic activity and climate change can cause erosion,1,second condition long periods tectonic stability tectonic activity climate change cause erosion,"[0.005063108634203672, 0.008567490614950657, 0.021798864006996155, 0.01133051048964262, 0.08508788049221039, 0.03454778343439102, 0.08508788049221039, 0.07587426900863647, 0.13609470427036285, 0.22532007098197937, 0.38935619592666626, 1.2173949480056763]"
elevated homocysteine levels are associated with heart disease stroke and early death,1,elevated homocysteine levels associated heart disease stroke early death,"[0.01737089268863201, 0.016907084733247757, 0.05956295132637024, 0.07929688692092896, 0.22459053993225098, 0.1189807653427124, 0.3438395857810974, 0.9050790071487427, 1.4036402702331543]"
the knee cap sliding across the bony ridges of the femur can cause some pain,1,knee cap sliding across bony ridges femur cause pain,"[0.007204167544841766, 0.01412262488156557, 0.02509920857846737, 0.04880223423242569, 0.10390624403953552, 0.19987820088863373, 0.2754950523376465, 0.548888623714447, 1.172802448272705]"
inequality and exploitation lead to tension and conflict,1,inequality exploitation lead tension conflict,"[0.09449745714664459, 0.12583954632282257, 0.5671342611312866, 0.6586707830429077, 1.1257466077804565]"
natural solutions are best because they do without the harsh chemicals that can dry out the skin or cause irritation and redness,1,natural solutions best without harsh chemicals dry skin cause irritation redness,"[0.004918418359011412, 0.013192836195230484, 0.010584643110632896, 0.014582015573978424, 0.03102267161011696, 0.05410933867096901, 0.08990553021430969, 0.1339733749628067, 0.2842516303062439, 0.45479243993759155, 1.0978469848632812]"
in accounts payable a simple mistake can cause a large overpayment,1,accounts payable simple mistake cause large overpayment,"[0.040572721511125565, 0.05762564018368721, 0.17283594608306885, 0.24385574460029602, 0.2108071893453598, 0.6923056840896606, 1.0972312688827515]"
historically child birth was a common cause of death,1,historically child birth common cause death,"[0.05365121737122536, 0.06350906193256378, 0.14895114302635193, 0.2709861993789673, 0.5135712623596191, 1.2297492027282715]"
the recession is caused by a deficiency of aggregate demand,1,recession caused deficiency aggregate demand,"[0.06456229835748672, 0.11844904720783234, 0.39715540409088135, 0.5692841410636902, 1.7479686737060547]"
herpes is caused by herpes simplex virus,1,herpes caused herpes simplex virus,"[0.36128881573677063, 0.18042242527008057, 0.36128881573677063, 0.45702266693115234, 1.4419074058532715]"
myopia short sight hyperopia long sight and astigmatism cylindrical error can result in poor vision,1,myopia short sight hyperopia long sight astigmatism cylindrical error result poor vision,"[0.003016345901414752, 0.004614020697772503, 0.0411636121571064, 0.013976584188640118, 0.024759000167250633, 0.0411636121571064, 0.06485624611377716, 0.11539033055305481, 0.3093666732311249, 0.3890288472175598, 0.4578202962875366, 1.091038703918457]"
sunlight causes the chinchilla to sweat and could lead to overheating,1,sunlight causes chinchilla sweat could lead overheating,"[0.041743844747543335, 0.03354981914162636, 0.06914898753166199, 0.14739198982715607, 0.25150588154792786, 0.6486773490905762, 1.084431767463684]"
doors are prone to damage caused by every day use and weather exposure,1,doors prone damage caused every day use weather exposure,"[0.012101542204618454, 0.024885334074497223, 0.033672697842121124, 0.10828980803489685, 0.17613323032855988, 0.29987746477127075, 0.3626306354999542, 0.6231716871261597, 1.4132556915283203]"
the deaths of all of judith s children resulted in new legal consequences,1,deaths judith children resulted new legal consequences,"[0.023627720773220062, 0.040906719863414764, 0.07396776229143143, 0.15170618891716003, 0.3099549412727356, 0.697045087814331, 1.6075292825698853]"
it also showed that atrazine caused cancer,1,also showed atrazine caused cancer,"[0.07439538836479187, 0.141203835606575, 0.2390272170305252, 0.715204119682312, 1.6969186067581177]"
the measles virus causes rash cough runny nose eye irritation and fever,1,measles virus causes rash cough runny nose eye irritation fever,"[0.008786061778664589, 0.029620978981256485, 0.023020347580313683, 0.05702899023890495, 0.05409479886293411, 0.07312487065792084, 0.26006951928138733, 0.40376853942871094, 0.4674959182739258, 1.5865744352340698]"
truck accidents almost always cause serious catastrophic injuries,1,truck accidents almost always cause serious catastrophic injuries,"[0.010763129219412804, 0.019020002335309982, 0.04067307338118553, 0.10866991430521011, 0.12125486880540848, 0.27647876739501953, 0.6225742101669312, 1.4416104555130005]"
the sinuses can cause many problems,1,sinuses cause many problems,"[0.19583891332149506, 0.2931689918041229, 0.6104147434234619, 1.6551990509033203]"
improper training and ignorance had led to injury,1,improper training ignorance led injury,"[0.06713981926441193, 0.17242670059204102, 0.19599653780460358, 0.4724615812301636, 1.3945424556732178]"
back pain is typically associated with inflammation which is too much heat,1,back pain typically associated inflammation much heat,"[0.036665529012680054, 0.0825512632727623, 0.12844225764274597, 0.2217392921447754, 0.34627479314804077, 0.5477222204208374, 1.0389485359191895]"
floods are occasionally caused by heavy rain storms and snowmelt,1,floods occasionally caused heavy rain storms snowmelt,"[0.028731780126690865, 0.03133483976125717, 0.10308703780174255, 0.2821812927722931, 0.35268160700798035, 0.42232826352119446, 1.3406964540481567]"
even airsoft guns are tightly regulated and violation may lead to a criminal conviction for illegal possession of firearms,1,even airsoft guns tightly regulated violation may lead criminal conviction illegal possession firearms,"[0.0010525558609515429, 0.0017453968757763505, 0.0028006795328110456, 0.004008826799690723, 0.006214642431586981, 0.01798669621348381, 0.026374854147434235, 0.050142332911491394, 0.09709010273218155, 0.17921490967273712, 0.4459783434867859, 0.5496366024017334, 1.9380221366882324]"
several medications can cause night sweats so check out possible side effects of the medications you are taking,1,several medications cause night sweats check possible side effects medications taking,"[0.0078035094775259495, 0.8173500895500183, 0.015713471919298172, 0.04038911312818527, 0.025773171335458755, 0.0564916729927063, 0.0772322341799736, 0.1988658457994461, 0.49454495310783386, 0.8173500895500183, 1.327706217765808]"
without proper treatment cleaning removal of damaged tissue dressings antibiotics pressure sores can become infected leading to bone and join infections and even sepsis which can result in death,1,without proper treatment cleaning removal damaged tissue dressings antibiotics pressure sores become infected leading bone join infections even sepsis result death,"[2.5282148271799088e-05, 3.988260141341016e-05, 6.954220589250326e-05, 0.00015452293155249208, 0.0001639850379433483, 0.00042726541869342327, 0.000923516636248678, 0.001411912264302373, 0.0016829895321279764, 0.00480331014841795, 0.006784987635910511, 0.020412124693393707, 0.018114056438207626, 0.02588997408747673, 0.04669481888413429, 0.0848982110619545, 0.14605364203453064, 0.28708770871162415, 0.7270899415016174, 0.8706910610198975, 1.4768307209014893]"
when these two collide the passenger vehicle usually suffers the worst damage and in some cases the accident results in wrongful death,1,two collide passenger vehicle usually suffers worst damage cases accident results wrongful death,"[0.00050167745212093, 0.0011957818642258644, 0.0014330650446936488, 0.0028943608049303293, 0.0054883407428860664, 0.0099576311185956, 0.016714338213205338, 0.03661385178565979, 0.07959217578172684, 0.21619096398353577, 0.22780364751815796, 0.7717527151107788, 1.387847900390625]"
so benzene is really the cause of both bleeding and pain,1,benzene really cause bleeding pain,"[0.09187862277030945, 0.17408429086208344, 0.31094422936439514, 0.613013744354248, 1.3321623802185059]"
this is dangerous because clogged arteries can cause high blood pressure,1,dangerous clogged arteries cause high blood pressure,"[0.017683230340480804, 0.04364753141999245, 0.12023985385894775, 0.2044297307729721, 0.41551533341407776, 0.6036533713340759, 1.3410542011260986]"
a viral infection may also result in encephalitis triggered by an autoimmune response,1,viral infection may also result encephalitis triggered autoimmune response,"[0.005311579443514347, 0.010046040639281273, 0.013184327632188797, 0.02036110870540142, 0.0627184584736824, 0.13374869525432587, 0.2651817202568054, 0.33520305156707764, 1.0187225341796875]"
diseases that can cause damage to the brain of the child can lead to permanent deformities and mental retardation,1,diseases cause damage brain child lead permanent deformities mental retardation,"[0.003967672120779753, 0.007493575569242239, 0.010463743470609188, 0.017540764063596725, 0.05238019675016403, 0.06818592548370361, 0.1314840167760849, 0.3423045575618744, 0.6365073323249817, 1.2927919626235962]"
sometimes sleep problems are caused by stress or depression other problems have a more direct physical cause,1,sometimes sleep problems caused stress depression problems direct physical cause,"[0.006653161253780127, 0.009439801797270775, 0.1651553511619568, 0.03133269026875496, 0.05020688846707344, 0.09848030656576157, 0.1651553511619568, 0.2564179003238678, 0.4163331389427185, 1.2761551141738892]"
increased exposure to asbestos leads to increased risk of developing mesothelioma,1,increased exposure asbestos leads increased risk developing mesothelioma,"[0.1401691734790802, 0.015906626358628273, 0.029130779206752777, 0.11359915137290955, 0.1401691734790802, 0.243495374917984, 0.4520905911922455, 1.3304249048233032]"
they also need to categorize the events and incidents that lead to stress,1,also need categorize events incidents lead stress,"[0.041045088320970535, 0.11485850811004639, 0.16965940594673157, 0.3561555743217468, 0.4905725121498108, 0.586693286895752, 1.7228922843933105]"
at high doses typically greater than 300 mg caffeine can both cause and worsen anxiety,1,high doses typically greater 300 mg caffeine cause worsen anxiety,"[0.005164713133126497, 0.007704553660005331, 0.019230131059885025, 0.04616119712591171, 0.050066765397787094, 0.09668194502592087, 0.1563872992992401, 0.3391799330711365, 0.8845555782318115, 1.410262942314148]"
in some women ssris may cause over excitement anxiety insomnia nausea and reduced sexual drive,1,women ssris may cause excitement anxiety insomnia nausea reduced sexual drive,"[0.0031264799181371927, 0.00669189915060997, 0.010360736399888992, 0.016535354778170586, 0.1156766414642334, 0.07104330509901047, 0.09126262366771698, 0.2207106202840805, 0.3727738559246063, 0.6392772197723389, 1.0217417478561401]"
circulatory problems caused by smoking can lead to amputations heart disease and strokes,1,circulatory problems caused smoking lead amputations heart disease strokes,"[0.008739050477743149, 0.014946157112717628, 0.026138029992580414, 0.04653456062078476, 0.08350284397602081, 0.22942505776882172, 0.38678163290023804, 0.7965247631072998, 1.4645330905914307]"
it is the increased levels of carbon dioxide in the atmosphere that are thought to cause global warming,1,increased levels carbon dioxide atmosphere thought cause global warming,"[0.01625041477382183, 0.05036593973636627, 0.0524757020175457, 0.10786986351013184, 0.10653846710920334, 0.24334363639354706, 0.36548084020614624, 0.7513906955718994, 1.6047717332839966]"
